epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,192.349,0.46415,0.54623,0.49067,0.93299,0.99109,1,0.995,0.90157,0.99109,1,0.995,0.89175,0.52022,0.66314,0.58638,0.64455,0.0011585,0.0011585,0.0011585
87,194.315,0.60909,0.64615,0.57903,1.00375,0.99109,1,0.995,0.90157,0.99109,1,0.995,0.89175,0.52022,0.66314,0.58638,0.64455,0.0011486,0.0011486,0.0011486
88,196.202,0.56688,0.78484,0.5379,0.97417,0.99028,1,0.995,0.91547,0.99028,1,0.995,0.95868,0.59463,0.59979,0.59838,0.6925,0.0011387,0.0011387,0.0011387
89,197.849,0.65103,0.77657,0.54931,0.9949,0.99028,1,0.995,0.91547,0.99028,1,0.995,0.95868,0.59463,0.59979,0.59838,0.6925,0.0011288,0.0011288,0.0011288
90,199.505,0.60781,0.69395,0.55527,0.9918,0.9898,1,0.995,0.93302,0.9898,1,0.995,0.91205,0.70051,0.59875,0.63183,0.72278,0.0011189,0.0011189,0.0011189
91,201.15,0.6227,0.65742,0.52146,1.00744,0.9898,1,0.995,0.93302,0.9898,1,0.995,0.91205,0.70051,0.59875,0.63183,0.72278,0.001109,0.001109,0.001109
92,202.817,0.65152,0.78125,0.55559,1.01344,0.98944,1,0.995,0.90981,0.98944,1,0.995,0.91205,0.69822,0.61,0.61162,0.71058,0.0010991,0.0010991,0.0010991
93,204.716,0.5574,0.64143,0.55684,0.9792,0.98944,1,0.995,0.90981,0.98944,1,0.995,0.91205,0.69822,0.61,0.61162,0.71058,0.0010892,0.0010892,0.0010892
94,206.692,0.566,0.60956,0.51454,0.95305,0.99054,1,0.995,0.92543,0.99054,1,0.995,0.9411,0.5484,0.6444,0.54599,0.66137,0.0010793,0.0010793,0.0010793
95,208.655,0.55026,0.71905,0.51861,0.9754,0.99054,1,0.995,0.92543,0.99054,1,0.995,0.9411,0.5484,0.6444,0.54599,0.66137,0.0010694,0.0010694,0.0010694
96,210.642,0.64033,0.71152,0.52816,1.00651,0.99118,1,0.995,0.95643,0.99118,1,0.995,0.94543,0.46263,0.61713,0.5113,0.63668,0.0010595,0.0010595,0.0010595
97,212.614,0.625,0.6984,0.60053,0.98897,0.99118,1,0.995,0.95643,0.99118,1,0.995,0.94543,0.46263,0.61713,0.5113,0.63668,0.0010496,0.0010496,0.0010496
98,216.531,0.58239,0.77289,0.5087,0.97102,0.99152,1,0.995,0.91446,0.99152,1,0.995,0.93193,0.47593,0.54699,0.49438,0.64357,0.0010397,0.0010397,0.0010397
99,219.301,0.6083,0.75124,0.51751,1.00529,0.99152,1,0.995,0.91446,0.99152,1,0.995,0.93193,0.47593,0.54699,0.49438,0.64357,0.0010298,0.0010298,0.0010298
100,222.411,0.57636,0.68037,0.49772,0.97157,0.99183,1,0.995,0.87252,0.99183,1,0.995,0.91067,0.56487,0.51492,0.53491,0.66947,0.0010199,0.0010199,0.0010199
101,224.379,0.62775,0.81458,0.52724,0.96252,0.99183,1,0.995,0.87252,0.99183,1,0.995,0.91067,0.56487,0.51492,0.53491,0.66947,0.00101,0.00101,0.00101
102,226.18,0.6022,0.69534,0.57444,1.05478,0.99193,1,0.995,0.90942,0.99193,1,0.995,0.90383,0.61351,0.55905,0.52486,0.70097,0.0010001,0.0010001,0.0010001
103,227.815,0.58877,1.09991,0.4994,1.03428,0.99193,1,0.995,0.90942,0.99193,1,0.995,0.90383,0.61351,0.55905,0.52486,0.70097,0.0009902,0.0009902,0.0009902
104,229.486,0.49232,0.69035,0.4895,0.98216,0.99189,1,0.995,0.92281,0.99189,1,0.995,0.8955,0.56216,0.54439,0.54151,0.67542,0.0009803,0.0009803,0.0009803
105,231.124,0.51673,0.69645,0.47752,0.96572,0.99189,1,0.995,0.92281,0.99189,1,0.995,0.8955,0.56216,0.54439,0.54151,0.67542,0.0009704,0.0009704,0.0009704
106,232.793,0.55417,0.63345,0.53067,0.95664,0.99195,1,0.995,0.93125,0.99195,1,0.995,0.93873,0.45702,0.49203,0.52048,0.63283,0.0009605,0.0009605,0.0009605
107,234.132,0.4927,0.59903,0.45701,0.93743,0.99195,1,0.995,0.93125,0.99195,1,0.995,0.93873,0.45702,0.49203,0.52048,0.63283,0.0009506,0.0009506,0.0009506
108,235.241,0.48805,0.62777,0.46609,0.93621,0.992,1,0.995,0.95551,0.992,1,0.995,0.95111,0.43716,0.45785,0.45556,0.62663,0.0009407,0.0009407,0.0009407
109,236.596,0.51038,0.65447,0.47542,0.98463,0.992,1,0.995,0.95551,0.992,1,0.995,0.95111,0.43716,0.45785,0.45556,0.62663,0.0009308,0.0009308,0.0009308
110,239.426,0.53544,0.5734,0.49304,0.94764,0.9916,1,0.995,0.95644,0.9916,1,0.995,0.96211,0.44988,0.50425,0.48623,0.62781,0.0009209,0.0009209,0.0009209
111,242.801,0.54454,0.77908,0.55709,0.99089,0.9916,1,0.995,0.95644,0.9916,1,0.995,0.96211,0.44988,0.50425,0.48623,0.62781,0.000911,0.000911,0.000911
112,245.027,0.54712,0.6198,0.55006,0.99286,0.9883,1,0.995,0.95244,0.9883,1,0.995,0.94112,0.47018,0.5319,0.49878,0.64616,0.0009011,0.0009011,0.0009011
113,247.005,0.44659,0.61743,0.42437,0.94925,0.9883,1,0.995,0.95244,0.9883,1,0.995,0.94112,0.47018,0.5319,0.49878,0.64616,0.0008912,0.0008912,0.0008912
114,249.231,0.60472,0.75753,0.53044,0.98755,0.98751,1,0.995,0.9332,0.98751,1,0.995,0.92343,0.49746,0.53858,0.55032,0.66302,0.0008813,0.0008813,0.0008813
115,250.65,0.49636,0.61643,0.48676,0.95969,0.98751,1,0.995,0.9332,0.98751,1,0.995,0.92343,0.49746,0.53858,0.55032,0.66302,0.0008714,0.0008714,0.0008714
116,252.078,0.49323,0.68568,0.47829,0.95537,0.98717,1,0.995,0.93191,0.98717,1,0.995,0.909,0.49939,0.53563,0.51781,0.67523,0.0008615,0.0008615,0.0008615
117,253.494,0.56941,0.67592,0.48639,1.01461,0.98717,1,0.995,0.93191,0.98717,1,0.995,0.909,0.49939,0.53563,0.51781,0.67523,0.0008516,0.0008516,0.0008516
118,254.917,0.49254,0.63463,0.45095,0.95967,0.9843,1,0.995,0.91073,0.9843,1,0.995,0.91064,0.47552,0.50488,0.4501,0.6719,0.0008417,0.0008417,0.0008417
119,256.331,0.56479,0.60303,0.50282,0.96927,0.9843,1,0.995,0.91073,0.9843,1,0.995,0.91064,0.47552,0.50488,0.4501,0.6719,0.0008318,0.0008318,0.0008318
120,257.761,0.52728,0.62514,0.48149,0.98954,0.99126,1,0.995,0.91073,0.99126,1,0.995,0.95549,0.47642,0.4836,0.42268,0.665,0.0008219,0.0008219,0.0008219
121,258.929,0.52322,0.54564,0.49316,0.93855,0.99126,1,0.995,0.91073,0.99126,1,0.995,0.95549,0.47642,0.4836,0.42268,0.665,0.000812,0.000812,0.000812
122,259.951,0.43618,0.57306,0.43709,0.92534,0.99214,1,0.995,0.91899,0.99214,1,0.995,0.91889,0.48951,0.4959,0.43011,0.65766,0.0008021,0.0008021,0.0008021
123,261.176,0.48182,0.59369,0.49922,0.9447,0.99214,1,0.995,0.91899,0.99214,1,0.995,0.91889,0.48951,0.4959,0.43011,0.65766,0.0007922,0.0007922,0.0007922
124,262.421,0.45255,0.56263,0.47478,0.90855,0.99219,1,0.995,0.91909,0.99219,1,0.995,0.93871,0.47534,0.51969,0.43964,0.65332,0.0007823,0.0007823,0.0007823
125,263.643,0.43587,0.51365,0.46183,0.92803,0.99219,1,0.995,0.91909,0.99219,1,0.995,0.93871,0.47534,0.51969,0.43964,0.65332,0.0007724,0.0007724,0.0007724
126,264.896,0.67722,0.81473,0.57327,1.045,0.99187,1,0.995,0.9511,0.99187,1,0.995,0.93871,0.45422,0.52142,0.44465,0.64926,0.0007625,0.0007625,0.0007625
127,266.116,0.48625,0.69418,0.45649,0.94138,0.99187,1,0.995,0.9511,0.99187,1,0.995,0.93871,0.45422,0.52142,0.44465,0.64926,0.0007526,0.0007526,0.0007526
128,267.363,0.52415,0.65969,0.47248,0.98941,0.99143,1,0.995,0.9291,0.99143,1,0.995,0.93872,0.47292,0.50214,0.42507,0.65801,0.0007427,0.0007427,0.0007427
129,268.582,0.44703,0.59506,0.4353,0.92698,0.99143,1,0.995,0.9291,0.99143,1,0.995,0.93872,0.47292,0.50214,0.42507,0.65801,0.0007328,0.0007328,0.0007328
